time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-21T14:20:59.500Z,-33.8815,-72.5257,10,4.9,mb,,176,0.791,0.93,us,us1000buex,2017-12-21T15:06:37.898Z,"89km WSW of San Antonio, Chile",earthquake,5.1,1.9,0.177,10,reviewed,us,us
2017-12-21T04:39:24.340Z,-21.1294,-68.7118,137.62,4.5,mb,,76,0.729,0.68,us,us1000bu6j,2017-12-21T04:46:24.040Z,"149km N of Calama, Chile",earthquake,4.8,8.3,0.205,7,reviewed,us,us
2017-12-21T04:37:15.540Z,-5.1881,153.429,47.09,4.5,mb,,172,1.603,0.69,us,us1000bu6t,2017-12-21T04:53:42.040Z,"91km SSE of Taron, Papua New Guinea",earthquake,10.2,8.5,0.127,18,reviewed,us,us
2017-12-21T03:40:57.220Z,30.6723,132.0224,30.73,5.1,mb,,97,2.632,0.95,us,us1000bu5c,2017-12-21T03:57:47.040Z,"98km E of Nishinoomote, Japan",earthquake,7.6,5,0.047,149,reviewed,us,us
2017-12-21T03:23:39.570Z,16.4247,-98.1094,14.08,5,mww,,177,1.213,0.93,us,us1000bu4s,2017-12-21T13:37:58.089Z,"13km W of San Pedro Jicayan, Mexico",earthquake,10.3,8,0.073,18,reviewed,us,us
2017-12-21T03:01:02.220Z,-9.1906,159.1897,10,4.9,mb,,99,0.787,0.87,us,us1000bu47,2017-12-21T03:22:52.040Z,"87km WNW of Honiara, Solomon Islands",earthquake,7.6,1.9,0.144,15,reviewed,us,us
2017-12-21T03:00:19.050Z,29.2858,142.7204,16.24,5.7,mww,,113,2.232,1.08,us,us1000bu46,2017-12-21T05:03:22.354Z,"249km NNE of Chichi-shima, Japan",earthquake,8.3,4.8,0.071,19,reviewed,us,us
2017-12-21T01:56:53.090Z,29.2744,142.5418,7.76,5.2,mww,,97,2.193,1.08,us,us1000bu37,2017-12-21T02:11:17.040Z,"244km N of Chichi-shima, Japan",earthquake,8.2,4.5,0.073,18,reviewed,us,us
2017-12-21T00:42:35.090Z,29.2339,142.5265,10,4.9,mb,,123,2.151,0.64,us,us1000bu2l,2017-12-21T01:03:01.040Z,"240km N of Chichi-shima, Japan",earthquake,6.3,1.9,0.055,103,reviewed,us,us
2017-12-21T00:40:12.560Z,29.2234,142.5803,10.08,5,mb,,124,2.148,0.67,us,us1000bu2f,2017-12-21T00:57:13.040Z,"239km N of Chichi-shima, Japan",earthquake,8.3,4.6,0.061,86,reviewed,us,us
